alias am_lat am_lat_std am_lon am_lon_std am_ele am_ele_std network stacode h_dist v_dist level lat lon ele elg
A0022 44.917000 0.000000 11.538000 0.000000 0.003 0.000 UNKNOWN ALB 0.0000 0.0000 0 44.917000 11.538000 0.003 0.006
A0023 37.748985 0.000015 13.753715 0.000015 0.700 0.000 ING ALJA 0.0000 0.0000 0 37.749000 13.753700 0.700 NULL
A0023 37.748985 0.000015 13.753715 0.000015 0.700 0.000 IV ALJA 0.0043 0.0000 1 37.748970 13.753730 0.700 NULL
A0024 42.780000 0.000000 13.576000 0.000000 1.370 0.000 MAC ALP 0.0000 0.0000 0 42.780000 13.576000 1.370 1.358
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 MAC AMC 0.0000 0.0000 0 43.548800 13.601200 0.523 0.535
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 MAC AO1 0.1684 0.0070 1 43.550200 13.602000 0.530 0.552
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 MAC AO2 0.1684 0.0070 1 43.550200 13.602000 0.530 0.552
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 RSM AO5 0.1684 0.0070 1 43.550200 13.602000 0.530 0.552
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 RSM AO6 0.1684 0.0070 1 43.550200 13.602000 0.530 0.552
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 RSM AO7 0.1684 0.0070 1 43.550200 13.602000 0.530 0.552
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 ING AO7 0.1684 0.0070 1 43.550200 13.602000 0.530 0.552
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 ING AOI 0.1684 0.0070 1 43.550200 13.602000 0.530 0.552
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 MAC AOI 0.1684 0.0070 1 43.550200 13.602000 0.530 0.552
A0025 43.550070 0.000402 13.601927 0.000230 0.529 0.002 IV AOI 0.1654 0.0070 1 43.550170 13.602000 0.530 NULL
A0026 43.495800 0.000000 13.392700 0.000000 0.000 0.000 MAC AMT 0.0000 0.0000 0 43.495800 13.392700 0.000 0.227
A0027 40.907150 0.000050 16.604150 0.000050 0.443 0.000 ING AMUR 0.0000 0.0000 0 40.907200 16.604200 0.443 NULL
A0027 40.907150 0.000050 16.604150 0.000050 0.443 0.000 IV AMUR 0.0139 0.0000 1 40.907100 16.604100 0.443 NULL
A0028 43.607845 0.000263 13.532557 0.000429 0.166 0.001 RSM AN1 0.0000 0.0000 0 43.608300 13.533300 0.168 0.154
A0028 43.607845 0.000263 13.532557 0.000429 0.166 0.001 ING PCRO 0.1047 0.0030 1 43.607700 13.532300 0.165 NULL
A0028 43.607845 0.000263 13.532557 0.000429 0.166 0.001 IV PCRO 0.1043 0.0030 1 43.607680 13.532330 0.165 NULL
A0029 40.551200 0.000000 14.216800 0.000000 0.250 0.000 OSV AN9 0.0000 0.0000 0 40.551200 14.216800 0.250 0.275
A0030 43.059500 0.000000 12.852300 0.000000 1.074 0.000 BIN ANNI 0.0000 0.0000 0 43.059500 12.852300 1.074 1.042
A0031 43.558480 0.000020 12.419855 0.000055 0.488 0.000 ING APEC 0.0000 0.0000 0 43.558500 12.419800 0.488 NULL
A0031 43.558480 0.000020 12.419855 0.000055 0.488 0.000 IV APEC 0.0099 0.0000 1 43.558460 12.419910 0.488 NULL
A0032 46.478690 0.000010 11.228165 0.000035 1.056 0.000 ING APPI 0.0000 0.0000 0 46.478700 11.228200 1.056 0.971
A0032 46.478690 0.000010 11.228165 0.000035 1.056 0.000 IV APPI 0.0058 0.0000 1 46.478680 11.228130 1.056 NULL
